,0,1,2
0,0.2048816978931427,0.21488822996616364,0.0
1,0.11440855264663696,0.11398355662822723,10.0
2,0.10392438620328903,0.10282017290592194,20.0
3,0.0990653783082962,0.0942201167345047,30.0
4,0.09407158941030502,0.08943800628185272,40.0
5,0.09233654290437698,0.09122449159622192,50.0
6,0.08843979239463806,0.0870262011885643,60.0
7,0.0901959165930748,0.08608593046665192,70.0
8,0.08734162151813507,0.08518575131893158,80.0
9,0.08660150319337845,0.08396171033382416,90.0
10,0.08534381538629532,0.08314704895019531,100.0
11,0.08306468278169632,0.08119551837444305,110.0
12,0.08518027514219284,0.07962335646152496,120.0
13,0.08179209381341934,0.07877399772405624,130.0
14,0.08164232224225998,0.08125994354486465,140.0
15,0.08391027897596359,0.08142329007387161,150.0
16,0.08344490826129913,0.07791861891746521,160.0
17,0.08028821647167206,0.07905483990907669,170.0
18,0.07850158214569092,0.07684510946273804,180.0
19,0.08061444759368896,0.0793905034661293,190.0
20,0.07986995577812195,0.07663776725530624,200.0
21,0.08072960376739502,0.07844432443380356,210.0
22,0.08037477731704712,0.07852599024772644,220.0
23,0.07977768033742905,0.07582495361566544,230.0
24,0.08004312962293625,0.07673501968383789,240.0
25,0.08026014268398285,0.07755192369222641,250.0
26,0.07960708439350128,0.07539796829223633,260.0
27,0.07877290993928909,0.07654290646314621,270.0
28,0.07813705503940582,0.07868405431509018,280.0
29,0.08084605634212494,0.07543356716632843,290.0
30,0.07929979264736176,0.07791188359260559,300.0
31,0.07866859436035156,0.07547306269407272,310.0
32,0.08134746551513672,0.07521677762269974,320.0
33,0.08102547377347946,0.07724736630916595,330.0
34,0.07976483553647995,0.07646788656711578,340.0
35,0.07807604968547821,0.07885805517435074,350.0
36,0.07831750810146332,0.07501815259456635,360.0
37,0.08095695823431015,0.07700302451848984,370.0
38,0.07853704690933228,0.07592830806970596,380.0
39,0.07931278645992279,0.07533729076385498,390.0
40,0.08039475232362747,0.07630813121795654,400.0
41,0.07783445715904236,0.07453065365552902,410.0
42,0.07908427715301514,0.07650906592607498,420.0
43,0.08032240718603134,0.077006496489048,430.0
44,0.07873328030109406,0.0744919553399086,440.0
45,0.07933270931243896,0.07633054256439209,450.0
46,0.07963062822818756,0.0750059112906456,460.0
47,0.08081750571727753,0.07698754221200943,470.0
48,0.08042129129171371,0.07712344080209732,480.0
49,0.0784313902258873,0.07611755281686783,490.0
