,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
4425,CIB4,CIB4,"CIB4, NA, NA",NA,NA,CIB4,False,CIB4,CIB4,,,,False,CIB4
103,CIC,CIC,"CIC, NA, KIAA0306",NA,KIAA0306,CIC,False,CIC,CIC,,,,False,CIC
4426,CIDEA,CIDEA,"CIDEA, NA, CIDE-A",NA,CIDE-A,CIDEA,False,CIDEA,CIDEA,,CIDEA,CIDEA,False,CIDEA
4427,CIDEB,CIDEB,"CIDEB, NA, NA",NA,NA,CIDEB,False,CIDEB,CIDEB,,,,False,CIDEB
4428,CIDEC,CIDEC,"CIDEC, NA, CIDE-3, FLJ20871, Fsp27",NA,"CIDE-3, FLJ20871, Fsp27",CIDEC,False,CIDEC,CIDEC,,CIDEC,CIDEC,False,CIDEC
4429,CIDECP,,,,,,,CIDECP,,,,,False,CIDECP
104,CIITA,CIITA,"CIITA, MHC2TA, C2TA, NLRA",MHC2TA,"C2TA, NLRA",CIITA,False,CIITA,CIITA,,CIITA,CIITA,False,CIITA
4431,CILP,CILP,"CILP, NA, HsT18872",NA,HsT18872,CILP,False,CILP,CILP,,CILP,CILP,False,CILP
4430,CILP2,CILP2,"CILP2, NA, MGC45771",NA,MGC45771,CILP2,False,CILP2,CILP2,,,,False,CILP2
4432,CINP,CINP,"CINP, NA, MGC849",NA,MGC849,CINP,False,CINP,CINP,,,,False,CINP
4433,CIR1,CIR1,"CIR1, NA, CIR",NA,CIR,CIR1,False,CIR1,CIR1,,,,False,CIR1
4434,CIRBP,CIRBP,"CIRBP, NA, CIRP",NA,CIRP,CIRBP,False,CIRBP,CIRBP,,,,False,CIRBP
4435,CIRH1A,UTP4,"UTP4, CIRH1A, NAIC, FLJ14728, KIAA1988, TEX292, CIRHIN",CIRH1A,"NAIC, FLJ14728, KIAA1988, TEX292, CIRHIN",CIRH1A,True,CIRH1A,UTP4,CIRH1A,,UTP4,False,UTP4
4436,CISD1,CISD1,"CISD1, C10orf70, ZCD1, MDS029, mitoNEET","C10orf70, ZCD1","MDS029, mitoNEET",CISD1,False,CISD1,CISD1,,,,False,CISD1
4437,CISD2,CISD2,"CISD2, ZCD2, WFS2, Miner1, ERIS, NAF-1","ZCD2, WFS2","Miner1, ERIS, NAF-1",CISD2,False,CISD2,CISD2,,,,False,CISD2
4438,CISD3,CISD3,"CISD3, NA, Miner2, MiNT",NA,"Miner2, MiNT",CISD3,False,CISD3,CISD3,,,,False,CISD3
4439,CISH,CISH,"CISH, NA, CIS, G18, CIS-1, SOCS",NA,"CIS, G18, CIS-1, SOCS",CISH,False,CISH,CISH,,CISH,CISH,False,CISH
4440,CIT,CIT,"CIT, NA, KIAA0949, STK21, CRIK, CITK",NA,"KIAA0949, STK21, CRIK, CITK",CIT,False,CIT,CIT,,CIT,CIT,False,CIT
4441,CITED1,CITED1,"CITED1, MSG1, NA",MSG1,NA,CITED1,False,CITED1,CITED1,,CITED1,CITED1,False,CITED1
4442,CITED2,CITED2,"CITED2, NA, MRG1",NA,MRG1,CITED2,False,CITED2,CITED2,,CITED2,CITED2,False,CITED2
4443,CITED4,CITED4,"CITED4, NA, NA",NA,NA,CITED4,False,CITED4,CITED4,,CITED4,CITED4,False,CITED4
4444,CIZ1,CIZ1,"CIZ1, NA, LSFR1, ZNF356",NA,"LSFR1, ZNF356",CIZ1,False,CIZ1,CIZ1,,,,False,CIZ1
4445,CKAP2,CKAP2,"CKAP2, NA, LB1, FLJ10749, se20-10, TMAP",NA,"LB1, FLJ10749, se20-10, TMAP",CKAP2,False,CKAP2,CKAP2,,,,False,CKAP2
4446,CKAP2L,CKAP2L,"CKAP2L, NA, FLJ40629, radmis",NA,"FLJ40629, radmis",CKAP2L,False,CKAP2L,CKAP2L,,,,False,CKAP2L
4447,CKAP4,CKAP4,"CKAP4, NA, P63, CLIMP-63, ERGIC-63",NA,"P63, CLIMP-63, ERGIC-63",CKAP4,False,CKAP4,CKAP4,,CKAP4,CKAP4,False,CKAP4
4448,CKAP5,CKAP5,"CKAP5, NA, ch-TOG, KIAA0097, TOG, TOGp",NA,"ch-TOG, KIAA0097, TOG, TOGp",CKAP5,False,CKAP5,CKAP5,,CKAP5,CKAP5,False,CKAP5
4449,CKB,CKB,"CKB, CKBB, NA",CKBB,NA,CKB,False,CKB,CKB,,CKB,CKB,False,CKB
4450,CKLF,CKLF,"CKLF, CKLF1, UCK-1, CKLF3, CKLF4, HSPC224, C32",CKLF1,"UCK-1, CKLF3, CKLF4, HSPC224, C32",CKLF,False,CKLF,CKLF,,,,False,CKLF
4451,CKM,CKM,"CKM, CKMM, NA",CKMM,NA,CKM,False,CKM,CKM,,CKM,CKM,False,CKM
4452,CKMT1A,CKMT1A,"CKMT1A, CKMT1, NA",CKMT1,NA,CKMT1A,False,CKMT1A,CKMT1A,,CKMT1A,CKMT1A,False,CKMT1A
4453,CKMT1B,CKMT1B,"CKMT1B, CKMT, CKMT1, UMTCK","CKMT, CKMT1",UMTCK,CKMT1B,False,CKMT1B,CKMT1B,,,,False,CKMT1B
4454,CKMT2,CKMT2,"CKMT2, NA, SMTCK",NA,SMTCK,CKMT2,False,CKMT2,CKMT2,,CKMT2,CKMT2,False,CKMT2
4455,CKS1B,CKS1B,"CKS1B, NA, ckshs1, CKS1",NA,"ckshs1, CKS1",CKS1B,False,CKS1B,CKS1B,,CKS1B,CKS1B,False,CKS1B
4456,CKS2,CKS2,"CKS2, NA, NA",NA,NA,CKS2,False,CKS2,CKS2,,,,False,CKS2
4457,CLASP1,,,,,,,CLASP1,,,CLASP1,,False,CLASP1
4458,CLASP2,CLASP2,"CLASP2, NA, KIAA0627",NA,KIAA0627,CLASP2,False,CLASP2,CLASP2,,CLASP2,CLASP2,False,CLASP2
4459,CLC,CLC,"CLC, NA, LGALS10, MGC149659, Gal-10",NA,"LGALS10, MGC149659, Gal-10",CLC,False,CLC,CLC,,,,False,CLC
4460,CLCA1,CLCA1,"CLCA1, NA, CaCC, CLCRG1",NA,"CaCC, CLCRG1",CLCA1,False,CLCA1,CLCA1,,CLCA1,CLCA1,False,CLCA1
4461,CLCA2,CLCA2,"CLCA2, NA, CLCRG2",NA,CLCRG2,CLCA2,False,CLCA2,CLCA2,,CLCA2,CLCA2,False,CLCA2
4462,CLCA3P,,,,,,,CLCA3P,,,CLCA3P,,False,CLCA3P
4463,CLCA4,CLCA4,"CLCA4, NA, CaCC2",NA,CaCC2,CLCA4,False,CLCA4,CLCA4,,CLCA4,CLCA4,False,CLCA4
4464,CLCC1,CLCC1,"CLCC1, NA, MCLC",NA,MCLC,CLCC1,False,CLCC1,CLCC1,,,,False,CLCC1
