,genes,Approved symbol,all_symbols,Previous symbols,Alias symbols,cce_genes_symbols,symbol_updated,CCE_symbol,Hugo_symbol,Previous_symbol,pathway_genes_cce,pathway_genes_hugo,duplicated,Final_symbol
777,100130426,,,,,,,100130426,,,,,False,100130426
778,100133144,,,,,,,100133144,,,,,False,100133144
779,100134869,,,,,,,100134869,,,,,False,100134869
780,10357,,,,,,,10357,,,,,False,10357
781,10431,,,,,,,10431,,,,,False,10431
782,136542,,,,,,,136542,,,,,False,136542
783,155060,,,,,,,155060,,,,,False,155060
784,26823,,,,,,,26823,,,,,False,26823
785,280660,,,,,,,280660,,,,,False,280660
786,317712,,,,,,,317712,,,,,False,317712
787,340602,,,,,,,340602,,,,,False,340602
788,388795,,,,,,,388795,,,,,False,388795
789,390284,,,,,,,390284,,,,,False,390284
790,391343,,,,,,,391343,,,,,False,391343
791,391714,,,,,,,391714,,,,,False,391714
792,404770,,,,,,,404770,,,,,False,404770
793,441362,,,,,,,441362,,,,,False,441362
794,442388,,,,,,,442388,,,,,False,442388
795,553137,,,,,,,553137,,,,,False,553137
796,57714,,,,,,,57714,,,,,False,57714
797,645851,,,,,,,645851,,,,,False,645851
798,652919,,,,,,,652919,,,,,False,652919
799,653553,,,,,,,653553,,,,,False,653553
800,728045,,,,,,,728045,,,,,False,728045
801,728603,,,,,,,728603,,,,,False,728603
802,728788,,,,,,,728788,,,,,False,728788
803,729884,,,,,,,729884,,,,,False,729884
804,8225,,,,,,,8225,,,,,False,8225
805,90288,,,,,,,90288,,,,,False,90288
806,A1BG,A1BG,"A1BG, NA, NA",NA,NA,A1BG,False,A1BG,A1BG,,A1BG,A1BG,False,A1BG
0,A1CF,A1CF,"A1CF, NA, ACF, ASP, ACF64, ACF65, APOBEC1CF",NA,"ACF, ASP, ACF64, ACF65, APOBEC1CF",A1CF,False,A1CF,A1CF,,A1CF,A1CF,False,A1CF
807,A2BP1,RBFOX1,"RBFOX1, NA, A2BP1, FOX-1, HRNBP1",NA,"A2BP1, FOX-1, HRNBP1",A2BP1,True,A2BP1,RBFOX1,A2BP1,,RBFOX1,False,RBFOX1
808,A2LD1,GGACT,"GGACT, A2LD1, NA",A2LD1,NA,A2LD1,True,A2LD1,GGACT,A2LD1,,,False,A2LD1
809,A2M,A2M,"A2M, NA, FWP007, S863-7, CPAMD5",NA,"FWP007, S863-7, CPAMD5",A2M,False,A2M,A2M,,A2M,A2M,False,A2M
810,A2ML1,A2ML1,"A2ML1, CPAMD9, FLJ25179, p170",CPAMD9,"FLJ25179, p170",A2ML1,False,A2ML1,A2ML1,,,,False,A2ML1
811,A4GALT,A4GALT,"A4GALT, P1, A14GALT, Gb3S, P(k)",P1,"A14GALT, Gb3S, P(k)",A4GALT,False,A4GALT,A4GALT,,,,False,A4GALT
812,A4GNT,A4GNT,"A4GNT, NA, alpha4GnT",NA,alpha4GnT,A4GNT,False,A4GNT,A4GNT,,A4GNT,A4GNT,False,A4GNT
813,AAA1,,,,,,,AAA1,,,,,False,AAA1
814,AAAS,AAAS,"AAAS, NA, NA",NA,NA,AAAS,False,AAAS,AAAS,,AAAS,AAAS,False,AAAS
815,AACS,AACS,"AACS, NA, FLJ12389, SUR-5, ACSF1",NA,"FLJ12389, SUR-5, ACSF1",AACS,False,AACS,AACS,,AACS,AACS,False,AACS
816,AACSL,,,,,,,AACSL,,,,,False,AACSL
817,AADAC,AADAC,"AADAC, NA, DAC, CES5A1",NA,"DAC, CES5A1",AADAC,False,AADAC,AADAC,,AADAC,AADAC,False,AADAC
818,AADACL2,AADACL2,"AADACL2, NA, MGC72001",NA,MGC72001,AADACL2,False,AADACL2,AADACL2,,,,False,AADACL2
819,AADACL3,AADACL3,"AADACL3, NA, OTTHUMG00000001887",NA,OTTHUMG00000001887,AADACL3,False,AADACL3,AADACL3,,,,False,AADACL3
820,AADACL4,AADACL4,"AADACL4, NA, OTTHUMG00000001889",NA,OTTHUMG00000001889,AADACL4,False,AADACL4,AADACL4,,,,False,AADACL4
821,AADAT,AADAT,"AADAT, NA, KATII, KAT2, KYAT2",NA,"KATII, KAT2, KYAT2",AADAT,False,AADAT,AADAT,,AADAT,AADAT,False,AADAT
822,AAGAB,AAGAB,"AAGAB, NA, FLJ11506, p34",NA,"FLJ11506, p34",AAGAB,False,AAGAB,AAGAB,,,,False,AAGAB
823,AAK1,AAK1,"AAK1, NA, KIAA1048, DKFZp686K16132",NA,"KIAA1048, DKFZp686K16132",AAK1,False,AAK1,AAK1,,AAK1,AAK1,False,AAK1
824,AAMP,AAMP,"AAMP, NA, NA",NA,NA,AAMP,False,AAMP,AAMP,,AAMP,AAMP,False,AAMP
825,AANAT,AANAT,"AANAT, NA, SNAT",NA,SNAT,AANAT,False,AANAT,AANAT,,AANAT,AANAT,False,AANAT
826,AARS,AARS1,"AARS1, AARS, CMT2N, AlaRS",AARS,"CMT2N, AlaRS",AARS,True,AARS,AARS1,AARS,,AARS1,False,AARS1
827,AARS2,AARS2,"AARS2, AARSL, KIAA1270, bA444E17.1",AARSL,"KIAA1270, bA444E17.1",AARS2,False,AARS2,AARS2,,AARS2,AARS2,False,AARS2
828,AARSD1,AARSD1,"AARSD1, NA, MGC2744, AlaXp",NA,"MGC2744, AlaXp",AARSD1,False,AARSD1,AARSD1,,,,False,AARSD1
829,AASDH,AASDH,"AASDH, NA, NRPS998, LYS2, ACSF4",NA,"NRPS998, LYS2, ACSF4",AASDH,False,AASDH,AASDH,,,,False,AASDH
830,AASDHPPT,AASDHPPT,"AASDHPPT, NA, LYS5, CGI-80, AASD-PPT, ACPS",NA,"LYS5, CGI-80, AASD-PPT, ACPS",AASDHPPT,False,AASDHPPT,AASDHPPT,,AASDHPPT,AASDHPPT,False,AASDHPPT
831,AASS,AASS,"AASS, NA, LORSDH, LKRSDH",NA,"LORSDH, LKRSDH",AASS,False,AASS,AASS,,AASS,AASS,False,AASS
832,AATF,AATF,"AATF, NA, DED, CHE-1, CHE1, BFR2",NA,"DED, CHE-1, CHE1, BFR2",AATF,False,AATF,AATF,,AATF,AATF,False,AATF
833,AATK,AATK,"AATK, NA, AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",NA,"AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77",AATK,False,AATK,AATK,,,,False,AATK
834,ABAT,ABAT,"ABAT, NA, GABAT, GABA-T",NA,"GABAT, GABA-T",ABAT,False,ABAT,ABAT,,ABAT,ABAT,False,ABAT
836,ABCA1,ABCA1,"ABCA1, ABC1, HDLDT1, TGD","ABC1, HDLDT1",TGD,ABCA1,False,ABCA1,ABCA1,,ABCA1,ABCA1,False,ABCA1
835,ABCA10,ABCA10,"ABCA10, NA, EST698739",NA,EST698739,ABCA10,False,ABCA10,ABCA10,,ABCA10,ABCA10,False,ABCA10
837,ABCA11P,,,,,,,ABCA11P,,,,,False,ABCA11P
838,ABCA12,ABCA12,"ABCA12, ICR2B, DKFZP434G232, LI2",ICR2B,"DKFZP434G232, LI2",ABCA12,False,ABCA12,ABCA12,,ABCA12,ABCA12,False,ABCA12
839,ABCA13,ABCA13,"ABCA13, NA, FLJ33876, FLJ33951",NA,"FLJ33876, FLJ33951",ABCA13,False,ABCA13,ABCA13,,ABCA13,ABCA13,False,ABCA13
840,ABCA17P,,,,,,,ABCA17P,,,,,False,ABCA17P
841,ABCA2,ABCA2,"ABCA2, ABC2, NA",ABC2,NA,ABCA2,False,ABCA2,ABCA2,,ABCA2,ABCA2,False,ABCA2
842,ABCA3,ABCA3,"ABCA3, ABC3, ABC-C, EST111653, LBM180",ABC3,"ABC-C, EST111653, LBM180",ABCA3,False,ABCA3,ABCA3,,ABCA3,ABCA3,False,ABCA3
843,ABCA4,ABCA4,"ABCA4, STGD1, ABCR, RP19, STGD, FFM, ARMD2, CORD3","STGD1, ABCR, RP19, STGD","FFM, ARMD2, CORD3",ABCA4,False,ABCA4,ABCA4,,ABCA4,ABCA4,False,ABCA4
844,ABCA5,ABCA5,"ABCA5, NA, EST90625",NA,EST90625,ABCA5,False,ABCA5,ABCA5,,ABCA5,ABCA5,False,ABCA5
845,ABCA6,ABCA6,"ABCA6, NA, EST155051",NA,EST155051,ABCA6,False,ABCA6,ABCA6,,ABCA6,ABCA6,False,ABCA6
846,ABCA7,ABCA7,"ABCA7, NA, ABCX",NA,ABCX,ABCA7,False,ABCA7,ABCA7,,ABCA7,ABCA7,False,ABCA7
847,ABCA8,ABCA8,"ABCA8, NA, KIAA0822",NA,KIAA0822,ABCA8,False,ABCA8,ABCA8,,ABCA8,ABCA8,False,ABCA8
848,ABCA9,ABCA9,"ABCA9, NA, EST640918",NA,EST640918,ABCA9,False,ABCA9,ABCA9,,ABCA9,ABCA9,False,ABCA9
851,ABCB1,ABCB1,"ABCB1, PGY1, MDR1, CLCS, P-gp, CD243, GP170, ABC20, p-170, PGY1","PGY1, MDR1, CLCS","P-gp, CD243, GP170, ABC20, p-170, PGY1",ABCB1,False,ABCB1,ABCB1,,ABCB1,ABCB1,False,ABCB1
849,ABCB10,ABCB10,"ABCB10, NA, EST20237, M-ABC2, MTABC2",NA,"EST20237, M-ABC2, MTABC2",ABCB10,False,ABCB10,ABCB10,,ABCB10,ABCB10,False,ABCB10
850,ABCB11,ABCB11,"ABCB11, BSEP, PFIC2, ABC16, SPGP, PFIC-2, PGY4","BSEP, PFIC2","ABC16, SPGP, PFIC-2, PGY4",ABCB11,False,ABCB11,ABCB11,,ABCB11,ABCB11,False,ABCB11
852,ABCB4,ABCB4,"ABCB4, PGY3, MDR3, MDR2, PFIC-3, GBD1","PGY3, MDR3","MDR2, PFIC-3, GBD1",ABCB4,False,ABCB4,ABCB4,,ABCB4,ABCB4,False,ABCB4
853,ABCB5,ABCB5,"ABCB5, NA, EST422562, ABCB5beta, ABCB5alpha",NA,"EST422562, ABCB5beta, ABCB5alpha",ABCB5,False,ABCB5,ABCB5,,ABCB5,ABCB5,False,ABCB5
854,ABCB6,ABCB6,"ABCB6, NA, EST45597, umat, MTABC3",NA,"EST45597, umat, MTABC3",ABCB6,False,ABCB6,ABCB6,,ABCB6,ABCB6,False,ABCB6
855,ABCB7,ABCB7,"ABCB7, ABC7, EST140535, Atm1p, ASAT",ABC7,"EST140535, Atm1p, ASAT",ABCB7,False,ABCB7,ABCB7,,ABCB7,ABCB7,False,ABCB7
856,ABCB8,ABCB8,"ABCB8, NA, EST328128, M-ABC1, MABC1, MITOSUR",NA,"EST328128, M-ABC1, MABC1, MITOSUR",ABCB8,False,ABCB8,ABCB8,,ABCB8,ABCB8,False,ABCB8
857,ABCB9,ABCB9,"ABCB9, NA, EST122234",NA,EST122234,ABCB9,False,ABCB9,ABCB9,,ABCB9,ABCB9,False,ABCB9
862,ABCC1,ABCC1,"ABCC1, MRP, MRP1, GS-X","MRP, MRP1",GS-X,ABCC1,False,ABCC1,ABCC1,,ABCC1,ABCC1,False,ABCC1
858,ABCC10,ABCC10,"ABCC10, NA, EST182763, MRP7, SIMRP7",NA,"EST182763, MRP7, SIMRP7",ABCC10,False,ABCC10,ABCC10,,ABCC10,ABCC10,False,ABCC10
859,ABCC11,ABCC11,"ABCC11, NA, MRP8",NA,MRP8,ABCC11,False,ABCC11,ABCC11,,ABCC11,ABCC11,False,ABCC11
860,ABCC12,ABCC12,"ABCC12, NA, MRP9",NA,MRP9,ABCC12,False,ABCC12,ABCC12,,,,False,ABCC12
861,ABCC13,,,,,,,ABCC13,,,,,False,ABCC13
863,ABCC2,ABCC2,"ABCC2, CMOAT, DJS, MRP2, cMRP",CMOAT,"DJS, MRP2, cMRP",ABCC2,False,ABCC2,ABCC2,,ABCC2,ABCC2,False,ABCC2
864,ABCC3,ABCC3,"ABCC3, NA, MRP3, cMOAT2, EST90757, MLP2, MOAT-D",NA,"MRP3, cMOAT2, EST90757, MLP2, MOAT-D",ABCC3,False,ABCC3,ABCC3,,ABCC3,ABCC3,False,ABCC3
865,ABCC4,ABCC4,"ABCC4, NA, MRP4, EST170205, MOAT-B, MOATB",NA,"MRP4, EST170205, MOAT-B, MOATB",ABCC4,False,ABCC4,ABCC4,,ABCC4,ABCC4,False,ABCC4
866,ABCC5,ABCC5,"ABCC5, NA, MRP5, SMRP, EST277145, MOAT-C",NA,"MRP5, SMRP, EST277145, MOAT-C",ABCC5,False,ABCC5,ABCC5,,ABCC5,ABCC5,False,ABCC5
867,ABCC6,ABCC6,"ABCC6, ARA, PXE, MRP6, EST349056, MLP1, URG7","ARA, PXE","MRP6, EST349056, MLP1, URG7",ABCC6,False,ABCC6,ABCC6,,ABCC6,ABCC6,False,ABCC6
868,ABCC6P1,,,,,,,ABCC6P1,,,,,False,ABCC6P1
869,ABCC6P2,,,,,,,ABCC6P2,,,,,False,ABCC6P2
870,ABCC8,ABCC8,"ABCC8, SUR, HRINS, HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2","SUR, HRINS","HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2",ABCC8,False,ABCC8,ABCC8,,ABCC8,ABCC8,False,ABCC8
871,ABCC9,ABCC9,"ABCC9, NA, SUR2, CMD1O",NA,"SUR2, CMD1O",ABCC9,False,ABCC9,ABCC9,,ABCC9,ABCC9,False,ABCC9
872,ABCD1,,,,,,,ABCD1,,,ABCD1,,False,ABCD1
873,ABCD2,ABCD2,"ABCD2, ALDL1, ALDR, ALDRP",ALDL1,"ALDR, ALDRP",ABCD2,False,ABCD2,ABCD2,,ABCD2,ABCD2,False,ABCD2
874,ABCD3,ABCD3,"ABCD3, PXMP1, PMP70, ZWS2",PXMP1,"PMP70, ZWS2",ABCD3,False,ABCD3,ABCD3,,ABCD3,ABCD3,False,ABCD3
875,ABCD4,ABCD4,"ABCD4, PXMP1L, PMP69, P70R, EST352188",PXMP1L,"PMP69, P70R, EST352188",ABCD4,False,ABCD4,ABCD4,,ABCD4,ABCD4,False,ABCD4
876,ABCE1,ABCE1,"ABCE1, RNASEL1, RNASELI, RNS4I, RLI, OABP, RLI1","RNASEL1, RNASELI, RNS4I","RLI, OABP, RLI1",ABCE1,False,ABCE1,ABCE1,,ABCE1,ABCE1,False,ABCE1
877,ABCF1,ABCF1,"ABCF1, ABC50, EST123147",ABC50,EST123147,ABCF1,False,ABCF1,ABCF1,,ABCF1,ABCF1,False,ABCF1
878,ABCF2,ABCF2,"ABCF2, NA, EST133090, ABC28, M-ABC1, HUSSY-18",NA,"EST133090, ABC28, M-ABC1, HUSSY-18",ABCF2,False,ABCF2,ABCF2,,,,False,ABCF2
879,ABCF3,ABCF3,"ABCF3, NA, EST201864",NA,EST201864,ABCF3,False,ABCF3,ABCF3,,,,False,ABCF3
880,ABCG1,ABCG1,"ABCG1, NA, ABC8",NA,ABC8,ABCG1,False,ABCG1,ABCG1,,ABCG1,ABCG1,False,ABCG1
881,ABCG2,ABCG2,"ABCG2, NA, EST157481, MXR, BCRP, ABCP, CD338",NA,"EST157481, MXR, BCRP, ABCP, CD338",ABCG2,False,ABCG2,ABCG2,,ABCG2,ABCG2,False,ABCG2
882,ABCG4,ABCG4,"ABCG4, NA, WHITE2",NA,WHITE2,ABCG4,False,ABCG4,ABCG4,,ABCG4,ABCG4,False,ABCG4
883,ABCG5,ABCG5,"ABCG5, NA, STSL",NA,STSL,ABCG5,False,ABCG5,ABCG5,,ABCG5,ABCG5,False,ABCG5
884,ABCG8,ABCG8,"ABCG8, NA, GBD4",NA,GBD4,ABCG8,False,ABCG8,ABCG8,,ABCG8,ABCG8,False,ABCG8
893,ABHD1,ABHD1,"ABHD1, NA, LABH1, FLJ36128",NA,"LABH1, FLJ36128",ABHD1,False,ABHD1,ABHD1,,,,False,ABHD1
885,ABHD10,ABHD10,"ABHD10, NA, FLJ11342",NA,FLJ11342,ABHD10,False,ABHD10,ABHD10,,ABHD10,ABHD10,False,ABHD10
886,ABHD11,ABHD11,"ABHD11, WBSCR21, PP1226",WBSCR21,PP1226,ABHD11,False,ABHD11,ABHD11,,,,False,ABHD11
887,ABHD12,ABHD12,"ABHD12, C20orf22, DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A",C20orf22,"DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A",ABHD12,False,ABHD12,ABHD12,,ABHD12,ABHD12,False,ABHD12
888,ABHD12B,ABHD12B,"ABHD12B, C14orf29, BEM46L3",C14orf29,BEM46L3,ABHD12B,False,ABHD12B,ABHD12B,,,,False,ABHD12B
889,ABHD13,ABHD13,"ABHD13, C13orf6, bA153I24.2, FLJ14906, BEM46L1",C13orf6,"bA153I24.2, FLJ14906, BEM46L1",ABHD13,False,ABHD13,ABHD13,,,,False,ABHD13
890,ABHD14A,ABHD14A,"ABHD14A, NA, DKFZP564O243, DORZ1",NA,"DKFZP564O243, DORZ1",ABHD14A,False,ABHD14A,ABHD14A,,,,False,ABHD14A
891,ABHD14B,ABHD14B,"ABHD14B, NA, MGC15429, CIB",NA,"MGC15429, CIB",ABHD14B,False,ABHD14B,ABHD14B,,ABHD14B,ABHD14B,False,ABHD14B
892,ABHD15,ABHD15,"ABHD15, NA, NA",NA,NA,ABHD15,False,ABHD15,ABHD15,,,,False,ABHD15
894,ABHD2,ABHD2,"ABHD2, NA, LABH2",NA,LABH2,ABHD2,False,ABHD2,ABHD2,,,,False,ABHD2
895,ABHD3,ABHD3,"ABHD3, NA, LABH3",NA,LABH3,ABHD3,False,ABHD3,ABHD3,,ABHD3,ABHD3,False,ABHD3
896,ABHD4,ABHD4,"ABHD4, NA, FLJ12816",NA,FLJ12816,ABHD4,False,ABHD4,ABHD4,,ABHD4,ABHD4,False,ABHD4
897,ABHD5,ABHD5,"ABHD5, NA, CGI-58, NCIE2",NA,"CGI-58, NCIE2",ABHD5,False,ABHD5,ABHD5,,ABHD5,ABHD5,False,ABHD5
898,ABHD6,ABHD6,"ABHD6, NA, NA",NA,NA,ABHD6,False,ABHD6,ABHD6,,ABHD6,ABHD6,False,ABHD6
899,ABHD8,ABHD8,"ABHD8, NA, FLJ11743, MGC14280, MGC2512",NA,"FLJ11743, MGC14280, MGC2512",ABHD8,False,ABHD8,ABHD8,,,,False,ABHD8
1,ABI1,ABI1,"ABI1, SSH3BP1, E3B1, ABI-1",SSH3BP1,"E3B1, ABI-1",ABI1,False,ABI1,ABI1,,ABI1,ABI1,False,ABI1
900,ABI2,ABI2,"ABI2, NA, ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2",NA,"ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2",ABI2,False,ABI2,ABI2,,ABI2,ABI2,False,ABI2
901,ABI3,ABI3,"ABI3, NA, NESH, SSH3BP3",NA,"NESH, SSH3BP3",ABI3,False,ABI3,ABI3,,,,False,ABI3
902,ABI3BP,ABI3BP,"ABI3BP, NA, NESHBP, DKFZP586L2024, TARSH",NA,"NESHBP, DKFZP586L2024, TARSH",ABI3BP,False,ABI3BP,ABI3BP,,,,False,ABI3BP
2,ABL1,ABL1,"ABL1, ABL, JTK7, c-ABL, p150",ABL,"JTK7, c-ABL, p150",ABL1,False,ABL1,ABL1,,ABL1,ABL1,False,ABL1
3,ABL2,ABL2,"ABL2, ABLL, ARG",ABLL,ARG,ABL2,False,ABL2,ABL2,,ABL2,ABL2,False,ABL2
903,ABLIM1,ABLIM1,"ABLIM1, LIMAB1, ABLIM, abLIM, limatin","LIMAB1, ABLIM","abLIM, limatin",ABLIM1,False,ABLIM1,ABLIM1,,ABLIM1,ABLIM1,False,ABLIM1
904,ABLIM2,ABLIM2,"ABLIM2, NA, KIAA1808",NA,KIAA1808,ABLIM2,False,ABLIM2,ABLIM2,,ABLIM2,ABLIM2,False,ABLIM2
905,ABLIM3,ABLIM3,"ABLIM3, NA, KIAA0843",NA,KIAA0843,ABLIM3,False,ABLIM3,ABLIM3,,ABLIM3,ABLIM3,False,ABLIM3
906,ABO,ABO,"ABO, NA, A3GALNT, A3GALT1",NA,"A3GALNT, A3GALT1",ABO,False,ABO,ABO,,ABO,ABO,False,ABO
907,ABP1,,,,,,,ABP1,,,,,False,ABP1
908,ABR,,,,,,,ABR,,,ABR,,False,ABR
909,ABRA,ABRA,"ABRA, NA, STARS",NA,STARS,ABRA,False,ABRA,ABRA,,,,False,ABRA
910,ABT1,ABT1,"ABT1, NA, Esf2",NA,Esf2,ABT1,False,ABT1,ABT1,,,,False,ABT1
911,ABTB1,ABTB1,"ABTB1, NA, BPOZ, EF1ABP, Btb3, BTBD21",NA,"BPOZ, EF1ABP, Btb3, BTBD21",ABTB1,False,ABTB1,ABTB1,,,,False,ABTB1
912,ABTB2,ABTB2,"ABTB2, NA, DKFZP586C1619, BTBD22, ABTB2A",NA,"DKFZP586C1619, BTBD22, ABTB2A",ABTB2,False,ABTB2,ABTB2,,,,False,ABTB2
913,ACAA1,,,,,,,ACAA1,,,ACAA1,,False,ACAA1
914,ACAA2,,,,,,,ACAA2,,,ACAA2,,False,ACAA2
915,ACACA,,,,,,,ACACA,,,ACACA,,False,ACACA
916,ACACB,,,,,,,ACACB,,,ACACB,,False,ACACB
917,ACAD10,ACAD10,"ACAD10, NA, MGC5601",NA,MGC5601,ACAD10,False,ACAD10,ACAD10,,ACAD10,ACAD10,False,ACAD10
918,ACAD11,ACAD11,"ACAD11, NA, FLJ12592",NA,FLJ12592,ACAD11,False,ACAD11,ACAD11,,ACAD11,ACAD11,False,ACAD11
919,ACAD8,,,,,,,ACAD8,,,ACAD8,,False,ACAD8
920,ACAD9,ACAD9,"ACAD9, NA, NPD002, MGC14452",NA,"NPD002, MGC14452",ACAD9,False,ACAD9,ACAD9,,ACAD9,ACAD9,False,ACAD9
921,ACADL,,,,,,,ACADL,,,ACADL,,False,ACADL
540,ACADM,,,,,,,ACADM,,,ACADM,,False,ACADM
922,ACADS,,,,,,,ACADS,,,ACADS,,False,ACADS
923,ACADSB,,,,,,,ACADSB,,,ACADSB,,False,ACADSB
924,ACADVL,,,,,,,ACADVL,,,ACADVL,,False,ACADVL
925,ACAN,ACAN,"ACAN, MSK16, CSPG1, AGC1, CSPGCP","MSK16, CSPG1, AGC1",CSPGCP,ACAN,False,ACAN,ACAN,,ACAN,ACAN,False,ACAN
926,ACAP1,ACAP1,"ACAP1, CENTB1, KIAA0050",CENTB1,KIAA0050,ACAP1,False,ACAP1,ACAP1,,,,False,ACAP1
927,ACAP2,ACAP2,"ACAP2, CENTB2, KIAA0041, CNT-B2",CENTB2,"KIAA0041, CNT-B2",ACAP2,False,ACAP2,ACAP2,,,,False,ACAP2
928,ACAP3,ACAP3,"ACAP3, CENTB5, KIAA1716",CENTB5,KIAA1716,ACAP3,False,ACAP3,ACAP3,,,,False,ACAP3
929,ACAT1,,,,,,,ACAT1,,,ACAT1,,False,ACAT1
930,ACAT2,,,,,,,ACAT2,,,ACAT2,,False,ACAT2
931,ACBD3,ACBD3,"ACBD3, GOLPH1, GOCAP1, GCP60, PAP7","GOLPH1, GOCAP1","GCP60, PAP7",ACBD3,False,ACBD3,ACBD3,,ACBD3,ACBD3,False,ACBD3
932,ACBD4,ACBD4,"ACBD4, NA, FLJ13322",NA,FLJ13322,ACBD4,False,ACBD4,ACBD4,,ACBD4,ACBD4,False,ACBD4
933,ACBD5,ACBD5,"ACBD5, NA, DKFZp434A2417, KIAA1996",NA,"DKFZp434A2417, KIAA1996",ACBD5,False,ACBD5,ACBD5,,ACBD5,ACBD5,False,ACBD5
934,ACBD6,ACBD6,"ACBD6, NA, MGC2404",NA,MGC2404,ACBD6,False,ACBD6,ACBD6,,ACBD6,ACBD6,False,ACBD6
935,ACBD7,ACBD7,"ACBD7, NA, FLJ38219, bA455B2.2",NA,"FLJ38219, bA455B2.2",ACBD7,False,ACBD7,ACBD7,,ACBD7,ACBD7,False,ACBD7
936,ACCN1,,,,,,,ACCN1,,,,,False,ACCN1
937,ACCN2,ASIC1,"ASIC1, ACCN2, BNaC2, hBNaC2",ACCN2,"BNaC2, hBNaC2",ACCN2,True,ACCN2,ASIC1,ACCN2,,ASIC1,False,ASIC1
938,ACCN3,ASIC3,"ASIC3, ACCN3, TNaC1, DRASIC",ACCN3,"TNaC1, DRASIC",ACCN3,True,ACCN3,ASIC3,ACCN3,,ASIC3,False,ASIC3
939,ACCN4,ASIC4,"ASIC4, ACCN4, BNAC4",ACCN4,BNAC4,ACCN4,True,ACCN4,ASIC4,ACCN4,,ASIC4,False,ASIC4
940,ACCN5,ASIC5,"ASIC5, ACCN5, INAC, HINAC",ACCN5,"INAC, HINAC",ACCN5,True,ACCN5,ASIC5,ACCN5,,ASIC5,False,ASIC5
941,ACCS,ACCS,"ACCS, NA, PHACS, ACS",NA,"PHACS, ACS",ACCS,False,ACCS,ACCS,,,,False,ACCS
942,ACCSL,ACCSL,"ACCSL, NA, NA",NA,NA,ACCSL,False,ACCSL,ACCSL,,,,False,ACCSL
943,ACD,ACD,"ACD, NA, Ptop, Pip1, Tpp1, Tint1",NA,"Ptop, Pip1, Tpp1, Tint1",ACD,False,ACD,ACD,,ACD,ACD,False,ACD
944,ACE,ACE,"ACE, DCP1, ACE1, CD143",DCP1,"ACE1, CD143",ACE,False,ACE,ACE,,ACE,ACE,False,ACE
945,ACE2,ACE2,"ACE2, NA, ACEH",NA,ACEH,ACE2,False,ACE2,ACE2,,ACE2,ACE2,False,ACE2
946,ACER1,ACER1,"ACER1, ASAH3, NA",ASAH3,NA,ACER1,False,ACER1,ACER1,,ACER1,ACER1,False,ACER1
947,ACER2,ACER2,"ACER2, ASAH3L, FLJ41587, ALKCDase2",ASAH3L,"FLJ41587, ALKCDase2",ACER2,False,ACER2,ACER2,,ACER2,ACER2,False,ACER2
948,ACER3,ACER3,"ACER3, PHCA, FLJ11238, APHC",PHCA,"FLJ11238, APHC",ACER3,False,ACER3,ACER3,,ACER3,ACER3,False,ACER3
949,ACHE,ACHE,"ACHE, YT, NA",YT,NA,ACHE,False,ACHE,ACHE,,ACHE,ACHE,False,ACHE
950,ACIN1,ACIN1,"ACIN1, ACINUS, KIAA0670, fSAP152",ACINUS,"KIAA0670, fSAP152",ACIN1,False,ACIN1,ACIN1,,ACIN1,ACIN1,False,ACIN1
4,ACKR3,,,,,,,ACKR3,,,ACKR3,,False,ACKR3
951,ACLY,ACLY,"ACLY, NA, ATPCL, CLATP, ACL",NA,"ATPCL, CLATP, ACL",ACLY,False,ACLY,ACLY,,ACLY,ACLY,False,ACLY
952,ACMSD,ACMSD,"ACMSD, NA, NA",NA,NA,ACMSD,False,ACMSD,ACMSD,,ACMSD,ACMSD,False,ACMSD
953,ACN9,SDHAF3,"SDHAF3, ACN9, DC11, Sdh7, LYRM10",ACN9,"DC11, Sdh7, LYRM10",ACN9,True,ACN9,SDHAF3,ACN9,,,False,ACN9
954,ACO1,ACO1,"ACO1, IREB1, IRP1, IREBP",IREB1,"IRP1, IREBP",ACO1,False,ACO1,ACO1,,ACO1,ACO1,False,ACO1
955,ACO2,ACO2,"ACO2, NA, ACONM",NA,ACONM,ACO2,False,ACO2,ACO2,,ACO2,ACO2,False,ACO2
959,ACOT1,ACOT1,"ACOT1, NA, ACH2, CTE-1, LACH2",NA,"ACH2, CTE-1, LACH2",ACOT1,False,ACOT1,ACOT1,,ACOT1,ACOT1,False,ACOT1
956,ACOT11,ACOT11,"ACOT11, THEA, STARD14, BFIT, KIAA0707, BFIT1, THEM1",THEA,"STARD14, BFIT, KIAA0707, BFIT1, THEM1",ACOT11,False,ACOT11,ACOT11,,ACOT11,ACOT11,False,ACOT11
957,ACOT12,ACOT12,"ACOT12, NA, Cach, THEAL, STARD15",NA,"Cach, THEAL, STARD15",ACOT12,False,ACOT12,ACOT12,,ACOT12,ACOT12,False,ACOT12
